"Seed" "NumberOfYears" "WarmUpTime" "City 0" "City 1" "City 2" "City 3" "City 4" "City 5"
"1" 1337 100 5 8650 1345 1189 1157 1277 927
"2" 1337 100 5 8701 1239 1180 1174 1153 1161
"3" 1337 100 5 9069 1052 1276 1103 1098 892
"4" 1337 100 5 8762 1127 1292 1330 1135 778
